Year,Jurisdiction,Type,Stream,Fate,Tonnes
2006,NSW,Other soil/sludges (other N),C&I,Recycling,6055.658771502782
2006,NSW,Other soil/sludges (other N),Total,Disposal,21774.342066015422
2006,NSW,Other soil/sludges (other N),Total,Energy recovery,0.0
2006,NSW,Other soil/sludges (other N),Total,Recycling,6055.658771502782
2006,NSW,"Paints, resins, inks, organic sludges (F)",C&D,Disposal,0.0
2006,NSW,"Paints, resins, inks, organic sludges (F)",C&D,Energy recovery,0.0
2006,NSW,"Paints, resins, inks, organic sludges (F)",C&D,Recycling,0.0
2006,NSW,"Paints, resins, inks, organic sludges (F)",C&I,Disposal,9973.392895703182
2006,NSW,"Paints, resins, inks, organic sludges (F)",C&I,Energy recovery,3323.325707695066
2006,NSW,"Paints, resins, inks, organic sludges (F)",C&I,Recycling,3819.0759875108456
2006,NSW,"Paints, resins, inks, organic sludges (F)",Total,Disposal,9973.392895703182
2006,NSW,"Paints, resins, inks, organic sludges (F)",Total,Energy recovery,3323.325707695066
